item_id,restaurant_id,item_name,category,description,price,cost,prep_time_minutes,calories,is_vegetarian,is_vegan,is_gluten_free,popularity_score,date_added
3001,1001,Margherita Pizza,Pizza,"Fresh mozzarella, tomato sauce, basil",18.99,7.50,25,650,true,false,false,8.5,2022-01-15
3002,1001,Chicken Parmigiana,Entree,"Breaded chicken breast with marinara and mozzarella",24.99,9.75,30,850,false,false,false,9.2,2022-01-15
3003,1001,Caesar Salad,Salad,"Romaine lettuce, parmesan, croutons, caesar dressing",12.99,4.25,10,320,true,false,false,7.8,2022-01-15
3004,1002,General Tso's Chicken,Entree,"Sweet and spicy chicken with steamed rice",16.99,6.50,20,720,false,false,false,9.1,2022-02-20
3005,1002,Vegetable Lo Mein,Noodles,"Soft noodles with mixed vegetables",14.99,5.25,18,580,true,true,false,8.3,2022-02-20
3006,1002,Hot & Sour Soup,Soup,"Traditional Chinese soup with tofu and mushrooms",8.99,3.00,15,180,true,true,false,7.6,2022-02-20
3007,1003,Classic Cheeseburger,Burger,"1/3 lb beef patty with cheese, lettuce, tomato",13.99,5.75,15,680,false,false,false,9.4,2022-01-30
3008,1003,Chicken Wings,Appetizer,"Buffalo wings with ranch dipping sauce",11.99,4.50,12,520,false,false,false,8.9,2022-01-30
3009,1003,Onion Rings,Side,"Beer-battered onion rings",6.99,2.25,10,380,true,false,false,8.1,2022-01-30
3010,1004,Carnitas Tacos,Tacos,"Three soft tacos with slow-cooked pork",12.99,4.75,18,540,false,false,false,9.3,2022-03-10
3011,1004,Veggie Burrito,Burrito,"Black beans, rice, peppers, cheese, salsa",10.99,3.50,15,620,true,false,false,8.0,2022-03-10
3012,1004,Guacamole & Chips,Appetizer,"Fresh guacamole with tortilla chips",7.99,2.75,8,290,true,true,true,8.7,2022-03-10
3013,1005,Salmon Teriyaki Roll,Sushi,"Salmon, avocado, cucumber with teriyaki sauce",14.99,7.25,30,380,false,false,false,9.0,2022-02-05
3014,1005,Vegetable Tempura,Appetizer,"Assorted vegetables in light tempura batter",9.99,3.75,25,420,true,false,false,7.9,2022-02-05
3015,1005,Miso Soup,Soup,"Traditional soybean paste soup",4.99,1.50,10,95,true,true,true,8.2,2022-02-05
3016,1006,Pepperoni Pizza,Pizza,"Classic pepperoni with mozzarella cheese",16.99,6.50,22,720,false,false,false,9.5,2022-01-25
3017,1006,Garlic Breadsticks,Side,"Six breadsticks with garlic butter",5.99,1.75,12,340,true,false,false,8.4,2022-01-25
3018,1007,Quinoa Buddha Bowl,Bowl,"Quinoa, roasted vegetables, tahini dressing",15.99,6.25,20,480,true,true,true,8.6,2022-04-01
3019,1007,Green Smoothie,Beverage,"Spinach, banana, mango, coconut water",7.99,2.50,5,180,true,true,true,7.7,2022-04-01
3020,1008,Brisket Platter,BBQ,"Smoked brisket with two sides",22.99,9.25,35,920,false,false,false,9.2,2022-03-15
3021,1008,Pulled Pork Sandwich,Sandwich,"Slow-smoked pork with coleslaw",14.99,5.75,25,650,false,false,false,8.8,2022-03-15
3022,1009,Pho Bo,Soup,"Traditional beef noodle soup",13.99,5.50,25,420,false,false,false,9.1,2022-02-28
3023,1009,Spring Rolls,Appetizer,"Fresh spring rolls with peanut sauce",8.99,3.25,15,280,true,true,false,8.3,2022-02-28
3024,1010,Lamb Gyro,Wrap,"Seasoned lamb with tzatziki in pita bread",16.99,7.00,28,580,false,false,false,8.9,2022-03-20
3025,1010,Greek Salad,Salad,"Mixed greens, olives, feta, olive oil dressing",11.99,4.50,12,350,true,false,true,8.1,2022-03-20
3026,1011,Pancake Stack,Breakfast,"Three fluffy pancakes with maple syrup",9.99,3.25,12,620,true,false,false,8.7,2022-01-10
3027,1011,Breakfast Burrito,Breakfast,"Eggs, bacon, cheese, potatoes in tortilla",11.99,4.75,15,740,false,false,false,9.0,2022-01-10
3028,1012,Chicken Tikka Masala,Curry,"Creamy tomato curry with basmati rice",17.99,6.75,30,680,false,false,false,9.3,2022-04-05
3029,1012,Vegetable Samosas,Appetizer,"Crispy pastries with spiced potato filling",6.99,2.50,20,320,true,true,false,8.2,2022-04-05
3030,1013,Fish & Chips,Entree,"Beer-battered cod with thick-cut chips",15.99,6.25,18,780,false,false,false,8.8,2022-02-14

