promo_id,promo_code,description,discount_type,discount_value,min_order_amount,max_discount,start_date,end_date,usage_limit,times_used,status,applicable_restaurants
6001,SAVE10,10% off your order,percentage,10.00,15.00,5.00,2024-01-01,2024-01-31,1000,156,active,"1001,1002,1003,1004,1005"
6002,FIRST15,15% off first order,percentage,15.00,20.00,10.00,2024-01-01,2024-03-31,500,89,active,all
6003,FREEDELIV,Free delivery,fixed,0.00,25.00,6.00,2024-01-15,2024-02-15,2000,234,active,all
6004,PIZZA20,20% off pizza orders,percentage,20.00,18.00,8.00,2024-01-10,2024-01-25,300,67,active,"1001,1006"
6005,NEWUSER,$5 off new customers,fixed,5.00,10.00,5.00,2024-01-01,2024-12-31,unlimited,445,active,all
6006,LUNCH15,15% off lunch orders,percentage,15.00,12.00,7.00,2024-01-01,2024-01-31,800,123,active,all
6007,WEEKEND25,25% off weekend orders,percentage,25.00,30.00,15.00,2024-01-06,2024-01-28,400,78,active,all
6008,LOYALTY20,20% loyalty member discount,percentage,20.00,25.00,12.00,2024-01-01,2024-06-30,unlimited,234,active,all
6009,STUDENT10,Student discount 10%,percentage,10.00,8.00,4.00,2024-01-01,2024-05-31,1500,89,active,all
6010,FAMILY30,$30 off family meals,fixed,30.00,75.00,30.00,2024-01-20,2024-02-20,200,23,active,all

